KD_KPP,WP_BENDAHARA,WP_BADAN,WP_OP_KARYAWAN,WP_OP_PENGUSAHA,JUMLAH_FPP,JUMLAH_AR,REALISASI_ANGGARAN,KEPATUHAN_SPT,CAPAIAN_PENERIMAAN,PERTUMBUHAN_PENERIMAAN,SP2DK_TERBIT,SP2DK_CAIR,PEMERIKSAAN_SELESAI
2,0.01001001001001001,0.2867196367763905,0.3777453006911698,0.1792350110638896,0.3913043478260869,0.5681818181818182,0.2272776713435496,0.4114664037188336,0.2479374110953059,0.02638354683874249,0.5912619206032379,0.4286854179134251,0.2681039248203427
4,0.01341341341341341,0.2235641316685584,0.5494154124410567,0.2120930069193214,0.2391304347826087,0.5681818181818182,0.2080545743824527,0.3944217495421889,0.3456614509246088,0.2626593343717219,0.3581725438012863,0.2888489926191901,0.09563294637921504
5,0.02182182182182182,0.2064018161180477,0.4614608229442542,0.08074883214498962,0.2391304347826087,0.5909090909090909,0.2128946925286765,0.4949992956754472,0.612944523470839,0.3212117359102323,0.4668440895985806,0.4482345900658288,0.1028192371475954
9,0.03843843843843844,0.3427014755959137,0.8181238292099994,0.2854307892241227,0.2173913043478261,0.7045454545454546,0.269700529878589,0.653754049866178,1.0,0.8531421850662766,0.5524506542470614,0.6277678037103531,0.1293532338308458
13,0.006806806806806807,0.478683314415437,0.3700342355145017,0.1330827859927645,0.3913043478260869,0.5681818181818182,0.2596868229085875,0.2720101422735595,0.1556187766714083,0.2774404780825837,0.2439565313816811,0.2415719130261321,0.2327252625760088
15,0.004604604604604605,0.4642905788876277,0.3118338608617015,0.09713392574900775,0.3913043478260869,0.5,0.559208752685695,0.3511762220030989,0.1227596017069703,0.1110651959693569,0.1632290973608339,0.2529423498902852,0.1978993919292427
16,0.005805805805805806,0.3703518728717367,0.2876267682966216,0.1032454076077412,0.3913043478260869,0.6136363636363636,0.2868903217313674,0.2732779264685166,0.4216216216216218,0.169681172319527,0.2479485473497449,0.1797326949930181,0.1879491431730238
17,0.01261261261261261,0.4621566401816118,0.384632775660487,0.07692037511854166,0.3913043478260869,0.5454545454545454,0.3947013911255285,0.34596422031272,0.6041251778093881,0.3211163736927429,0.4615214016411621,0.2706961899062438,0.2393587617468214
34,0.005605605605605606,0.4433598183881953,0.494662812479814,0.3280706683994239,0.3913043478260869,0.5681818181818182,0.2445301657957829,0.3730102831384698,0.3167852062588905,0.3243586890873835,0.4737192282102461,1.0,0.1990049751243781
36,0.007407407407407408,0.4269693530079455,0.347304760674375,0.3235221804643321,0.3913043478260869,0.5909090909090909,0.2961574805165395,0.4275250035216227,0.3086770981507825,0.5727772656473504,0.5522288755821689,0.5659285856772391,0.2581536760641239
42,0.01541541541541542,0.3501475595913734,0.4722966862605775,0.2608794914123143,0.3913043478260869,0.5681818181818182,0.1756149995466686,0.3470911395971263,0.3028449502133714,0.3830700276550431,0.3685961410512309,0.2266108118890884,0.1409618573797678
43,0.003603603603603604,0.4334619750283769,0.2570247400038757,0.1319237118471427,0.3913043478260869,0.5227272727272727,0.2966106930351868,0.3821665023242711,0.2665718349928878,0.3514733462602116,0.1747615879352406,0.196688609615001,0.2294085129906025
85,0.003803803803803804,0.2623382519863791,0.4341693043085072,0.1843279126128341,0.2391304347826087,0.6363636363636364,0.2183591645855089,0.3518805465558528,0.2743954480796587,0.3436854318319081,0.4003104901308494,0.3846000398962697,0.09452736318407959
86,0.009009009009009009,0.3350737797956868,0.3368403203927395,0.1253029398335148,0.3913043478260869,0.5454545454545454,0.1930235946109291,0.5062684885195097,0.1098150782361309,0.3993769668457356,0.8383233532934131,0.5615399960103731,0.1851851851851852
101,0.07967967967967968,0.4272417707150965,0.3664734190297784,0.1591970777282146,0.1956521739130435,0.5909090909090909,0.5301103842952826,0.3799126637554586,0.4864864864864866,0.1784227089227248,0.7453980927034819,0.395571514063435,0.175787728026534
